T,T_exec,T_lc,T_cc
0.18689984790012973,0.15430110882352938,0.009698977693445542,0.02289976138315481
0.1870463370933347,0.15328140705882348,0.008523407786649815,0.02524152224786141
0.187046936524597,0.15328140705882348,0.008523407786649815,0.025242121679123708
0.1874365530617419,0.1536779658823529,0.007461539590274572,0.026297047589114414
0.18743687109170662,0.15367796588235294,0.0074618576202392555,0.026297047589114414
0.18788074769369456,0.15316203705882322,0.007461539590274567,0.02725717104459678
0.1878809597136712,0.15316203705882353,0.007461751610250894,0.02725717104459678
0.18788117173364777,0.15316203705882353,0.007461963630227479,0.02725717104459678
0.18813815878447,0.15294383264705882,0.010255105203067555,0.024939220934343618
0.18814415667208584,0.1529494770588235,0.010255105203067553,0.024939574410194787
