T,T_exec,T_lc,T_cc,t_plink,t_plink_read,t_plink_kernel,t_plink_write,read_connections,write_connections
0.3062088749790508,0.29687744624633766,0.0046450719554098074,0.004686356777303358,0.29687777114267344,0.020320869067382813,0.239724,0.036832902075290684,1.0,4.0
0.30620919987538675,0.2968777711426735,0.004645071955409891,0.004686356777303358,0.29687777114267355,0.020320869067382813,0.2397240000000001,0.036832902075290684,1.0,4.0
0.3064094510352782,0.2968777711426735,0.004551003347593195,0.004980676545011576,0.29687777114267355,0.020320869067382813,0.2397240000000001,0.036832902075290684,1.0,4.0
0.30983318508882474,0.2969188038451194,0.006324718069637136,0.006589663174068226,0.2969188038451195,0.020341385760498047,0.239724,0.036853418084621434,3.0,5.0
0.3106619605901184,0.2969188038451194,0.007426455526912913,0.00631670121808613,0.2969188038451195,0.020341385760498047,0.239724,0.036853418084621434,3.0,5.0
0.31822761005071026,0.3171044490439415,0.001122069664684183,1.0913420845480526E-6,0.3171044490439415,0.02032111136713028,0.2947869,0.0019964376768112184,2.0,6.0
0.31822997289470617,0.3171051814332008,0.0011219636546959595,2.8278068093692554E-6,0.3171051814332008,0.020320869067382813,0.2947869,0.001997412365818024,1.0,5.0
0.31831769861121734,0.3171032320551872,9.291635957605698E-4,2.8530296026959136E-4,0.3171032320551872,0.020320869067382813,0.2947869,0.001995462987804413,1.0,4.0
0.318399229520243,0.31737162258487267,0.001026515593285841,1.0913420845480526E-6,0.31737162258487267,0.020321353666877748,0.29478689999999946,0.002263368917995453,3.0,3.0
0.31858937300197115,0.31737040559611873,9.291635957521249E-4,2.898038101002749E-4,0.3173704055961189,0.02032111136713028,0.29478689999999996,0.0022623942289886475,2.0,1.0
