T,T_exec,T_lc,T_cc
0.30706928873046857,0.21392312999999985,0.0022661846093749998,0.09087997412109375
0.3070703765923712,0.21392312999999985,0.0022663011506204042,0.09088094544175092
0.3073034907496553,0.21392312999999996,0.002082492298368566,0.09129786845128676
0.30961913835319965,0.21400443294117644,0.002210553524241728,0.09340415188778148
0.3126639972786216,0.21672853147058796,0.002054427705652573,0.09388103810238106
0.3150514899113195,0.21935064911764704,0.0022380719353170954,0.09346276885835535
0.3151895814680747,0.21975772588235262,0.001969461641199448,0.09346239394452262
0.3151900248418111,0.2197577258823528,0.001969530101102941,0.09346276885835535
0.3226573633516917,0.21030869470588234,0.002860282628676448,0.1094883860171329
0.32265738739236266,0.21030869470588234,0.002860306669347425,0.1094883860171329
