T,T_exec,T_lc,T_cc
0.36095707646249964,0.24867486529411761,0.043196666444105254,0.06908554472427676
0.36095718398293963,0.2486748652941176,0.043196666444105254,0.0690856522447168
0.36095742993835084,0.24867486529411761,0.043196666444105254,0.06908589820012793
0.3674921028618551,0.2548225523529411,0.0451626015149279,0.06750694899398607
0.3677167904517089,0.24887983823529408,0.051966805742151595,0.06687014647426325
0.3838626801144223,0.24954742999999996,0.04538905214746805,0.08892619796695428
0.3955495541129372,0.24905384911764697,0.042418469936707434,0.1040772350585828
0.39777489652786946,0.24938775264705873,0.04241846993670743,0.10596867394410328
0.40416678575220244,0.2493877526470588,0.04241846993670744,0.1123605631684362
0.41245103439715125,0.2507476005882283,0.03391568974029163,0.12778774406863128
