T,T_exec,T_lc,T_cc,t_plink,t_plink_read,t_plink_kernel,t_plink_write,read_connections,write_connections
0.2510826781129592,0.2291944542240344,0.008911746632295495,0.012976477256629326,0.2261501342514601,0.028951982173347476,0.15206400000000286,0.045134152078109745,9.0,5.0
0.25108316271245423,0.2291949388235294,0.008911746632295495,0.012976477256629326,0.2261501342514601,0.028951982173347476,0.15206400000000286,0.045134152078109745,9.0,5.0
0.2520058127012457,0.2291949388235294,0.008911746632295495,0.01389912724542085,0.22615013425145722,0.028951982173347476,0.152064,0.045134152078109745,9.0,5.0
0.25505109711301044,0.23224022323529409,0.008911746632295495,0.01389912724542085,0.2261501342514601,0.028951982173347476,0.15206400000000286,0.045134152078109745,9.0,5.0
0.25668674469085495,0.22997723558823527,0.005941164421530331,0.020768344681089346,0.22615013425145722,0.028951982173347476,0.152064,0.045134152078109745,9.0,5.0
0.26280038591240457,0.24259368970588233,0.004049067406149471,0.016157628800372796,0.2416712524735451,0.03727592791614533,0.152064,0.05233132455739975,7.0,6.0
0.2697937088863429,0.2511566091313362,0.004455873316147748,0.014181226438858928,0.2511566091313362,0.040641738134765626,0.152064,0.05845087099657059,5.0,6.0
0.26984385987609605,0.2511976418337822,0.004455522660083432,0.01419069538223042,0.25119764183378224,0.040662254827880856,0.152064,0.05847138700590135,7.0,7.0
0.2709652110189831,0.24861980950498583,0.0037132277634564564,0.018632173750540788,0.24861980950498583,0.04064222273426056,0.152064,0.055913586770725256,4.0,6.0
0.272562719280271,0.2511566091313362,0.004455873316147748,0.016950236832787006,0.2511566091313362,0.040641738134765626,0.152064,0.05845087099657059,3.0,6.0
