T,T_exec,T_lc,T_cc,t_plink,t_plink_read,t_plink_kernel,t_plink_write,read_connections,write_connections
0.3585584956587487,0.3028961402941175,0.003374497235466452,0.05228785812916474,5.18874609374966E-4,4.3420114746092287E-4,1.5000000000000002E-6,8.317346191404317E-5,0.9999999999999996,1.0
0.3585590074923885,0.3028961402941176,0.0033746341552734365,0.05228823304299746,2.7075966796875006E-4,1.8608620605468752E-4,1.5000000000000002E-6,8.31734619140625E-5,2.0,1.0
0.358614371246984,0.30295201588235277,0.003374497235466452,0.05228785812916474,5.18874609375E-4,4.3420114746093756E-4,1.5000000000000002E-6,8.31734619140625E-5,1.0,1.0
0.3586618721554744,0.30299910764705873,0.0033745314654181975,0.05228823304299746,2.7075966796873764E-4,1.8608620605468752E-4,1.4999999999876232E-6,8.31734619140625E-5,2.0,1.0
0.35881628620361233,0.3031534532352932,0.003374599925321673,0.05228823304299746,2.7075966796873764E-4,1.8608620605468752E-4,1.4999999999876232E-6,8.31734619140625E-5,2.0,1.0
0.3588163204335631,0.30315345323529225,0.003374634155273418,0.05228823304299746,2.7075966796873764E-4,1.8608620605468752E-4,1.4999999999876232E-6,8.31734619140625E-5,2.0,1.0
0.3655545246679596,0.31295853862389944,0.0032511713324333623,0.049344814711626835,0.31295853862390133,0.13288715834350584,0.005842200000000001,0.17422918028039552,7.0,1.0
0.461526242038646,0.30485301852941177,0.0022954715073529412,0.1543777520018813,6.42932080078125E-4,5.582586181640625E-4,1.5000000000000002E-6,8.31734619140625E-5,3.0,1.0
0.4685531319195182,0.3074761644117632,0.0018943913215188181,0.1591825761862362,6.42932080078125E-4,5.582586181640625E-4,1.5000000000000002E-6,8.31734619140625E-5,3.0,1.0
0.46855315596019065,0.3074761644117646,0.0018944153621897979,0.1591825761862362,6.42932080078125E-4,5.582586181640625E-4,1.5000000000000002E-6,8.31734619140625E-5,3.0,1.0
