T,T_exec,T_lc,T_cc
1.2681151273218643,1.0965313355882353,0.030494563015432186,0.14108922871819665
1.2763537572303076,1.1034264520588233,0.03023420691692115,0.14269309825456308
1.282670705687765,1.115121879117647,0.03651121098114458,0.13103761558897353
1.3735322117104765,1.1903448702941175,0.036918016891142894,0.14626932452521604
1.3777290782741207,1.1953217911764702,0.03691801689114285,0.1454892702065075
1.3836150961273415,1.1993313970588233,0.036918016891142894,0.14736568217737533
1.3899280336647033,1.1993313970588233,0.036918016891142894,0.15367861971473695
1.401121591226056,1.2119719467647057,0.02785530317048357,0.16129434129086662
1.4029675981553416,1.2119719467647059,0.02785530317048357,0.163140348220152
1.6616531371531302,1.3357091252941118,0.012108779475604348,0.31383523238341415
