T,T_exec,T_lc,T_cc,t_plink,t_plink_read,t_plink_kernel,t_plink_write,read_connections,write_connections
0.2169449815468521,0.16690818058823526,0.02477725805450634,0.02525954290411051,0.16645240488128657,0.08564985420370103,0.05197999999999994,0.028822550677585605,5.0,3.0
0.21694568480968862,0.16690818058823526,0.02477796131734287,0.02525954290411051,0.16645240488128663,0.08564985420370103,0.05198,0.028822550677585605,5.0,3.0
0.21694568849855672,0.16690818058823514,0.024777258054508724,0.025260249855812857,0.16645095108280178,0.08564840040521622,0.05197999999999994,0.028822550677585605,4.0,3.0
0.21694639176139097,0.16690818058823526,0.02477796131734287,0.025260249855812857,0.16645095108280178,0.08564840040521622,0.05197999999999996,0.028822550677585605,4.0,3.0
0.22297639314900114,0.16690818058823528,0.02477796131734287,0.03129025124342301,0.16645103367938993,0.08564815810546876,0.05197999999999996,0.028822875573921207,2.0,4.0
0.22350994454492112,0.1664507087830543,0.02477796131734287,0.03228127444452397,0.16645095108280178,0.08564840040521622,0.05197999999999996,0.028822550677585605,4.0,3.0
0.22351111482793012,0.16645103367938985,0.02477796131734287,0.0322821198311974,0.16645103367938985,0.08564815810546876,0.05197999999999988,0.028822875573921207,2.0,4.0
0.22682024036730294,0.16999513529411764,0.02414207540702798,0.032683029666157326,0.16645103367938993,0.08564815810546876,0.05197999999999996,0.028822875573921207,2.0,4.0
0.2268209473190054,0.16999513529411753,0.024142075407028195,0.03268373661785967,0.16645103367938996,0.08564815810546876,0.05198,0.028822875573921207,2.0,4.0
0.22682105332899366,0.16999513529411758,0.02414218141701642,0.03268373661785967,0.16645103367938996,0.08564815810546876,0.05198,0.028822875573921207,2.0,4.0
