T,T_exec,T_lc,T_cc
0.16520159701664436,0.12766505117647056,0.007355489259607539,0.030181056580566235
0.16520184297205556,0.12766505117647053,0.00735548925960765,0.030181302535977363
0.16546829003087907,0.12793149823529404,0.00735548925960765,0.030181302535977363
0.16630126488098385,0.12798539235294104,0.007355383249619426,0.030960489278423365
0.16630137089097213,0.1279853923529411,0.007355489259607651,0.030960489278423365
0.16630172436682328,0.1279853923529411,0.007355489259607647,0.030960842754274534
0.16643006093531681,0.12797027970588223,0.00594116442153033,0.032518616807904244
0.16804286611278788,0.12758420588235295,0.005578944019990808,0.03487971621044412
0.16837008788747757,0.12960545529411763,0.008213686588062959,0.030550946005296988
0.16839295774969962,0.12917569294117642,0.010590944845760546,0.028626319962762662
