T,T_exec,T_lc,T_cc,t_plink,t_plink_read,t_plink_kernel,t_plink_write,read_connections,write_connections
0.1717341525126865,0.14692459882352932,0.005090866344620131,0.01971868734453706,0.14628458944392775,0.022180055249118806,0.076032,0.04807253419480896,8.0,4.0
0.17173457655263955,0.1469245988235294,0.005091290384573095,0.01971868734453706,0.14628458944392775,0.022180055249118806,0.076032,0.04807253419480896,8.0,4.0
0.17176373919969837,0.14695376147058822,0.005091290384573095,0.01971868734453706,0.1421935193269748,0.020329888662815095,0.07603200000000182,0.04583163066415787,5.0,5.0
0.1728772731335376,0.14709632382352938,0.005091290384573095,0.02068965892543512,0.14218081351661682,0.020323049765110016,0.076032,0.04582576375150681,4.0,5.0
0.17287751908894872,0.14709632382352938,0.005091290384573095,0.020689904880846245,0.14219101373291015,0.020327707965087892,0.076032,0.04583130576782227,2.0,5.0
0.17316696942319784,0.14709632382352938,0.005091290384573104,0.020979355215095356,0.14217830792255398,0.020320869067382813,0.076032,0.045825438855171166,1.0,5.0
0.17346021142239232,0.14767961558823528,0.005091290384573095,0.02068930544958395,0.14628265104594804,0.022178116851139074,0.076032,0.04807253419480896,7.0,4.0
0.17346056489824346,0.14767961558823525,0.005091290384573092,0.02068965892543512,0.14628410484443283,0.02217957064962387,0.076032,0.04807253419480896,8.0,4.0
0.17368863437109497,0.14703148176470587,0.005091290384573095,0.021565862221816008,0.14217830792255404,0.020320869067382813,0.076032,0.04582543885517121,1.0,5.0
0.17375336890947843,0.14709632382352938,0.005091290384573095,0.021565754701375957,0.14217830792255404,0.020320869067382813,0.076032,0.04582543885517121,1.0,5.0
